geoid_r	pop_rIp	GDPpc_rIp	popd_rIp	allpat	educ_rIp
511	3888887.64	27395.98	5.32	15.07	8.16
512	2370073.16	23172.28	4.94	2.44	7.46
513	4621005.95	28627.91	4.16	9.09	7.33
514	1443823.36	23834.10	4.77	1.13	
515	353070.29	18312.15	3.51	0.21	8.96
516	174715.23	17037.70	3.45	0.27	9.16
517	297267.14	18381.65	3.21	0.80	9.28
518	1162020.12	28152.49	5.29	1.97	9.98
519	259504.31	22310.64	3.64	0.70	9.54
520	324688.47	20110.24	3.73	0.30	9.27
521	442451.82	25705.34	3.79	0.68	9.58
522	2113909.26	21020.40	4.63	4.23	7.29
523	939175.23	24218.33	0.51	2.19	10.52
524	839550.13	26665.64	0.40	6.49	10.48
525	2202910.21	37547.00	1.32	8.38	11.25
526	2814734.62	28041.34	1.22	9.75	11.33
527	113897.34	37471.96	-3.88	1.01	10.21
528	5719163.63	24228.68	1.50	17.36	10.69
529	519749.97	19577.39	2.28	3.48	10.27
530	624605.88	20271.07	2.77	1.77	10.75
531	455625.44	19257.80	0.32	1.53	9.95
532	93161.56	18775.85	3.07	0.82	10.58
533	363261.26	21044.39	4.60	0.05	8.96
534	755311.54	18037.89	4.93	0.16	7.89
535	190012.13	29865.70	4.51	0.11	8.99
536	467663.27	26955.81	5.84	0.22	9.19
537	791219.21	25260.77	6.27	0.16	8.96
538	753444.80	19137.34	4.64	0.21	8.59
549	7788561.81	30392.17	2.30	45.58	11.09
550	240644.48	24082.20	3.21	0.12	8.87
551	348511.86	18391.27	3.49	0.44	8.55
552	123077.90	20532.64	3.12	0.03	9.09
553	361842.44	27274.98	3.94	0.28	8.89
554	258398.63	16767.23	3.65	0.07	7.49
555	244880.21	15601.64	3.91	0.02	7.50
556	607787.64	17179.55	5.29	0.03	8.34
557	180776.31	24898.66	3.97	0.04	8.77
558	83450.20	17783.04	8.47	0.00	7.96
560	13246043.19	1304.57	5.46	0.22	2.70
561	50847960.77	812.26	6.25	0.27	1.95
562	540419.84	7240.69	8.97	0.23	6.40
563	37517081.00	1238.04	5.03	0.24	2.17
564				0.03	
565	689837.35	3720.95	5.73	0.36	4.50
566	5914742.62	3941.69	8.80	1.19	5.65
567	23570455.85	2090.48	5.44	0.82	3.00
568	10033544.71	2462.81	5.97	0.60	3.10
569	3135566.78	1928.93	4.55	0.83	3.45
570	5010907.52	1508.59	4.36	0.12	2.58
571	43732389.69	2439.86	5.57	2.83	3.65
572	1059206.58	1308.67	4.44	0.02	3.63
574	772170.38	1650.68	4.37	0.03	2.96
575	17389016.65	1126.66	5.33	0.08	2.54
576	12276521.15	2708.64	6.03	0.09	3.53
577	26161131.62	1284.33	4.90	0.07	1.95
578	246031.60	1742.58	4.11	0.03	2.32
579	1514296.42	1320.40	5.56	0.00	3.87
580	78751457.23	1141.51	6.14	1.67	2.29
581	38184884.31	1556.72	6.69	0.57	2.90
582	135636.53	2698.50	5.61	0.02	3.06
584	178029.71	2761.12	4.93	0.04	2.77
586	776387.69	2954.77	4.19	0.08	3.30
587	575868.87	1722.87	4.53	0.00	2.18
588	466372.39	1168.43	4.86	0.06	2.82
591	842862.72	2127.72	5.02	0.10	3.11
595	355024.20	3290.55	4.69	0.03	3.23
597	453896.59	1239.34	5.04	0.06	2.87
598	110784.01	2592.38	4.60	0.05	3.10
599	364502.25	6104.15	5.78	0.03	3.54
600	1181422.31	2326.00	4.69	0.03	2.75
601	492703.93	2537.82	4.59	0.05	2.76
602	231739.92	1554.68	3.57	0.00	2.41
604	353240.42	6077.88	6.94	0.11	6.83
605	305929.07	12829.36	5.92	0.07	4.64
606	259548.30	1567.68	4.38	0.03	2.42
609	376672.81	2402.82	4.21	0.00	3.11
610	346396.89	8254.43	5.56	0.02	3.66
612	613469.54	1210.41	5.01	0.00	2.61
620	211378.51	2243.06	3.13	0.03	2.45
621	139599.57	2326.84	3.69	0.16	2.49
622	238088.95	2014.84	4.06	0.01	2.89
623	262125.11	1192.23	4.80	0.03	2.55
627	2227605.62	5075.45	4.28	0.05	7.86
631	1758226.87	8075.06	4.14	0.03	8.38
632	1035036.41	3921.94	4.41	0.03	7.44
635	1399661.31	5610.36	2.58	0.01	8.62
636	1120959.63	3676.71	4.39	0.03	7.93
637	2405721.38	17728.77	4.16	0.03	8.16
641	796438.25	7567.83	3.84	0.10	8.09
642	4595443.50	4524.95	3.01	0.04	7.68
644	596737.69	4552.53	4.43	0.06	8.00
645	343874.66	6564.12	1.82	0.03	8.78
646	1229860.94	2349.02	2.51	0.00	7.57
647	7614117.75	9477.97	6.46	0.06	8.66
653	237659.71	25233.44	4.93	0.04	5.87
654	487799.08	108874.62	2.64	0.07	7.07
655	395060.30	71454.84	5.03	0.07	8.28
657	1606319.96	10091.53	5.25	0.00	5.75
658	610195.50	6348.77	4.17	0.03	4.89
659	275362.85	7727.78	3.76	0.03	4.77
664	5994684.03	10969.30	6.05	0.21	6.00
665	421389.44	5666.41	5.01	0.02	4.83
666	2136621.43	8135.94	4.67	0.08	6.56
669	396922.88	7071.94	3.79	0.08	5.80
670	283150.23	4447.29	3.45	0.03	3.88
671	681378.93	6382.48	3.89	0.05	5.30
672	1129928.00	4947.34	3.58	0.02	4.92
675	447547.18	5953.44	4.15	0.00	4.84
676	261991.40	4629.22	3.83	0.00	5.44
677	364699.43	5622.99	3.84	0.03	4.61
678	697800.43	6738.74	4.42	0.06	4.48
679	338101.26	7672.87	3.72	0.00	5.25
682	315679.46	5018.92	3.96	0.00	4.54
685	597903.14	2909.88	3.83	0.02	3.13
686	1801997.25	5604.44	4.63	0.01	4.69
687	726944.12	8126.68	4.30	0.02	5.14
690	267427.05	4689.13	3.35	0.00	4.32
692	642658.92	4918.79	5.18	0.05	4.59
696	519999.80	2809.94	4.89	0.04	4.12
698	210913.46	3246.64	2.44	0.00	4.45
699	733055.79	4795.31	4.76	0.02	4.43
700	462400.39	3518.13	4.31	0.03	4.25
702	143033.69	5121.34	3.33	0.00	4.76
706	236391.29	4972.02	4.54	0.03	4.56
711	644135.61	3735.76	4.20	0.00	3.53
714	198833.82	1911.75	3.52	0.00	3.46
715	1330602.96	2613.74	4.09	0.03	3.13
716	389842.13	2250.38	3.41	0.03	3.20
717	3430204.45	1233.64	4.74	0.06	5.79
718	3753787.33	5493.80	9.54	0.16	8.71
719	3244344.56	1642.72	2.75	0.03	1.04
723	35797396.40	1365.31	5.67	0.08	2.34
724	14432051.50	1913.56	5.17	0.02	2.68
725	8954813.05	1251.67	5.25	0.06	1.63
726	4089135.50	1093.56	5.59	0.00	
728	1249986.12	573.91	4.70	0.00	
731	1038178.02	774.32	3.54	0.00	11.00
733	887521.00	15808.80	5.26	0.75	9.42
734	1345039.42	15128.56	9.35	0.03	10.71
735	972085.91	13773.30	4.51	0.52	9.44
736	4799268.21	15700.55	6.57	48.81	10.66
737	6379354.19	17566.98	9.74	34.16	11.38
738	1212693.24	11754.07	5.54	0.53	9.40
739	2200946.14	14436.50	5.77	3.31	9.52
740	2019805.75	14994.82	5.90	8.90	9.66
741	1722521.29	17427.62	4.95	7.50	9.13
742	2563829.33	17314.43	5.85	2.83	9.90
743	2262316.24	11736.87	9.31	0.88	10.64
744	1451259.50	11111.60	8.50	1.44	10.63
745	306659.84	12664.61	5.60	0.12	10.04
747	1046530.19	4752.18	5.51	0.12	9.31
749	186111.97	3421.25	5.40	0.03	7.96
750	504727.25	2639.11	6.10	0.01	8.64
752	110624.99	3803.87	3.90	0.01	7.93
754	70527.77	3149.66	4.61	0.15	8.28
758	4065866.11	30321.85	7.16	84.65	10.86
759	794835.32	19491.36	4.65	6.36	9.95
760	984176.57	18460.06	5.04	1.32	9.73
761	3304955.93	19985.17	6.96	55.78	10.99
762	904195.28	19987.68	5.57	4.31	10.46
763	503359.47	24305.70	5.26	111.56	10.27
764	2874726.72	22389.04	6.86	18.14	10.79
765	1313223.63	22324.49	5.02	14.11	10.10
766	1260468.12	21500.83	5.26	66.87	10.44
767	1209647.28	23659.19	5.72	18.71	10.45
768	1717014.38	25058.91	5.81	20.16	11.04
769	3270802.65	22980.43	6.46	79.65	10.87
770	1730713.96	23679.27	6.12	77.96	10.36
771	720516.06	23693.83	5.61	2.12	10.43
772	919118.40	19744.41	4.53	2.62	9.93
773	614033.27	22600.89	6.37	12.50	10.76
774	1045009.11	17751.89	5.28	5.00	10.22
775	4778788.64	23758.78	8.08	89.30	11.51
776	493084.28	18413.48	4.76	3.52	9.83
777	1087002.30	19386.66	5.49	9.42	10.16
778	1587053.81	23487.67	6.33	54.72	10.75
779	1081192.90	23223.50	5.73	19.17	10.33
780	1422151.59	22486.92	5.73	80.71	10.58
781	686774.16	17718.34	5.02	2.48	10.09
782	1331877.63	22935.89	5.06	27.67	10.68
783	931991.80	17753.73	5.91	3.86	10.19
784	808752.83	16189.06	5.89	30.09	11.19
785	1554578.79	23239.92	5.27	8.83	9.96
786	735258.17	21537.63	5.26	1.74	10.57
787	1170626.78	23782.87	5.58	114.97	10.80
788	747162.12	20236.23	6.35	0.77	10.88
789	5278611.74	28622.17	8.42	39.02	10.88
790	523062.47	19738.36	5.87	0.98	10.43
791	3846875.77	18573.47	7.39	98.05	10.89
792	742782.44	26691.42	5.70	15.32	10.61
793	474289.79	19346.07	4.74	4.99	9.95
794	2214205.09	25613.32	6.11	56.74	10.56
795	1190156.98	25382.70	5.69	17.19	10.40
796	498576.86	19359.66	5.30	2.21	9.91
797	7334678.56	44735.27	8.79	303.65	11.41
798	374314.64	21050.53	5.17	1.34	10.49
799	694277.41	25308.20	5.56	15.54	10.55
800	649179.64	19881.55	5.44	4.01	10.26
801	797773.65	20341.65	4.89	4.98	10.18
802	945612.29	23165.29	5.54	9.58	10.74
803	522989.25	22447.05	5.25	7.15	10.72
804	1060367.75	18052.32	4.21	0.21	6.23
805	398444.19	16378.10	4.10	0.19	5.85
806	1317332.25	14646.53	4.91	0.43	5.97
807	3695381.56	16111.95	6.03	0.40	6.32
808	218448.35	18038.87	4.27	0.12	6.04
809	2628981.76	16786.38	5.32	0.62	6.05
810	3122189.09	16044.81	5.27	1.57	6.04
811	381906.04	16090.80	3.70	0.02	6.10
812	1148590.21	18177.12	4.51	0.09	7.57
813	411613.38	15947.90	3.52	0.04	6.57
814	472730.32	16806.20	3.95	0.03	6.59
815	2792936.38	21178.75	5.30	0.32	8.84
816	827727.45	16487.15	3.89	0.03	6.87
817	290180.34	18305.12	3.91	0.03	7.00
818	336210.19	18622.94	4.18	0.12	7.22
823	371737.72	9632.27	5.74	0.02	7.79
824	111740.02	5707.84	4.14	0.00	5.76
827	2430162.75	3702.28	6.82	0.06	4.49
829	2284576.12	2501.35	5.78	0.03	3.53
832	1905567.75	4053.39	7.19	0.06	5.90
834	2656252.25	3334.75	4.81	0.07	5.04
836	1834130.00	2335.94	5.08	0.05	3.22
837	3890344.00	5021.89	7.66	0.10	6.59
838	1863196.69	2716.04	8.14	0.02	4.68
840	235632.77	4297.04	3.84	0.03	5.85
841	2435313.12	2674.81	6.66	0.02	4.30
843	1545294.81	1954.14	7.02	0.06	3.55
851				0.00	
853	129238.80	1501.94	-1.65	0.03	2.14
854	270150.89	1726.19	-0.53	0.03	4.92
855	1940225.55	1492.66	2.74	0.12	6.51
856	1770947.25	1810.11	2.88	4.44	6.95
857	2209789.26	1326.04	2.83	0.06	6.39
858	1754700.61	889.11	2.87	0.27	4.64
859	2960801.08	1842.94	3.30	0.20	6.54
860	3237068.94	1585.42	3.30	0.40	6.50
861	5942658.06	2388.88	2.90	0.55	5.89
862	2018082.48	1307.22	2.24	0.06	4.87
863	750170.86	6171.79	4.22	0.07	9.15
864	4841082.74	1541.99	3.87	0.05	6.49
865	5014903.89	2472.54	3.94	0.11	6.38
866	554514.38	5132.46	4.31	0.31	8.02
867		14655.47	6.32	81.80	8.80
868	1622098.08	2546.77	3.17	0.69	5.85
869	3133685.47	1420.60	3.63	0.19	5.46
870	3991671.81	1916.73	3.53	3.08	6.74
871	2060297.58	1418.71	3.07	1.10	5.86
872	3906116.77	3091.04	4.18	0.21	6.45
