geoid_r,macroregion,impact,diff,year_c,region,allpat,pop_r,yearsofeducation_r,gdppcregion_r,lnpopulationdensity_r,shape_area_r,id_c,pop_r_ip,yearsofeducation_r_ip,gdppcregion_r_ip,lnpopulationdensity_r_ip,shape_area_r_ip,region_ip
436,Latin America,.12582392,,,,,,,,,,,,,,,,
437,Latin America,.12582392,1,,,,,,,,,,,,,,,
438,Latin America,.12582392,0,2005,,0,,,,,,,245164.09,5.848805,2568.001,2.9590964,12766045335.9,Olancho
439,Latin America,.12582392,0,2005,,0,,,,,,,274760.13,6.5499148,2459.9729,4.2117333,4086046272.8,Yoro
440,Latin America,.12582392,-1,2005,,0,,,,,,,177270.33,6.7791972,3686.2461,4.1674528,2752111576.49,Comayagua
441,Latin America,.12582392,0,2005,,0,,,,,,,575693.94,8.1652327,3935.813,5.5876174,2163707707.16,Corts
442,Latin America,.12582392,0,2005,,0,,,,,,,108319.74,5.6530871,1484.2244,4.204216,1625100821.32,Intibuc
443,Latin America,.12582392,0,2005,,0,,,,,,,87918.594,6.2337389,3528.5491,4.2031336,1318129128.02,La Paz
444,Latin America,.12582392,0,2005,,0,,,,,,,205421.45,5.4175339,3314.5737,4.3820653,2572678808.5,Santa Brbara
445,Latin America,.12582392,0,2005,,0,,,,,,,156050.19,5.3597088,4131.5259,4.5012388,1734041476.57,Copn
446,Latin America,.12582392,0,2005,,0,,,,,,,154261.47,4.8745861,2169.9434,4.2529979,2204665411.48,Lempira
447,Latin America,.12582392,0,2005,,0,,,,,,,57724.539,5.78652,1542.226,4.095633,963451768.721,Ocotepeque
448,Latin America,.12582392,0,2005,Baja Verapaz,0,122080.45,,2677.325,4.3638349,1554020265.94,,122080.45,,2677.325,4.3638349,1554020265.94,Baja Verapaz
449,Latin America,.12582392,0,2005,Huhuetenango,0,493457.53,,2111.125,4.8721991,3778162621.16,,493457.53,,2111.125,4.8721991,3778162621.16,Huhuetenango
450,Latin America,.12582392,0,2005,El Petn,0,239491.44,,2463.429,2.528712,19102241234.1,,239491.44,,2463.429,2.528712,19102241234.1,El Petn
451,Latin America,.12582392,0,2005,Quich,0,393719.5,,2654.7561,4.6695862,3691573385.67,,393719.5,,2654.7561,4.6695862,3691573385.67,Quich
452,Latin America,.12582392,0,2005,Quetzaltenango,0,353507.5,,3795.4839,5.8883948,979718178.359,,353507.5,,3795.4839,5.8883948,979718178.359,Quetzaltenango
453,Latin America,.12582392,0,2005,Retalhuleu,0,136248.52,,5105.356,4.8952579,1019408431.02,,136248.52,,5105.356,4.8952579,1019408431.02,Retalhuleu
454,Latin America,.12582392,0,2005,San Marcos,0,452949.88,,2093.0559,5.473897,1900058168.23,,452949.88,,2093.0559,5.473897,1900058168.23,San Marcos
455,Latin America,.12582392,0,2005,Alta Verapaz,2,463555.06,,3122.5759,4.502583,5136347150.78,1643,463555.06,,3122.5759,4.502583,5136347150.78,Alta Verapaz
456,Latin America,.12582392,0,2005,Chimaltenango,0,260747.08,,3315.061,5.6746378,894860772.335,,260747.08,,3315.061,5.6746378,894860772.335,Chimaltenango
457,Latin America,.12582392,0,2005,Escuintla,0,307085.88,,7794.3188,4.8226328,2470682512.41,,307085.88,,7794.3188,4.8226328,2470682512.41,Escuintla
458,Latin America,.12582392,0,2005,Guatemala City,0,1424965.8,,12414.5,7.1659541,1100703011.29,,1424965.8,,12414.5,7.1659541,1100703011.29,Guatemala City
459,Latin America,.12582392,0,2005,Suchitepquez,0,229276.64,,5462.6758,5.2092218,1253208793.69,,229276.64,,5462.6758,5.2092218,1253208793.69,Suchitepquez
460,Latin America,.12582392,0,2005,Sacatepquez,0,140623.47,,6747.6641,5.900104,385190178.831,,140623.47,,6747.6641,5.900104,385190178.831,Sacatepquez
461,Latin America,.12582392,0,2005,Solol,0,182278.5,,2293.353,5.8077698,547586823.668,,182278.5,,2293.353,5.8077698,547586823.668,Solol
462,Latin America,.12582392,0,2005,Totonicapn,0,200416.89,,1957.092,5.690856,676747949.079,,200416.89,,1957.092,5.690856,676747949.079,Totonicapn
463,Latin America,.12582392,0,2005,El Progreso,0,75929.844,,5277.5542,4.309566,1020450124.47,,75929.844,,5277.5542,4.309566,1020450124.47,El Progreso
464,Latin America,.12582392,0,2005,Santa Rosa,0,164417.77,,4156.8872,4.6434822,1582377679.93,,164417.77,,4156.8872,4.6434822,1582377679.93,Santa Rosa
465,Latin America,.12582392,0,2005,Izabal,0,181214.13,,7656.7158,3.6875091,4536565903.36,,181214.13,,7656.7158,3.6875091,4536565903.36,Izabal
