geoid_r,macroregion,impact,diff,diff2,year_c,region,allpat,pop_r,yearsofeducation_r,gdppcregion_r,lnpopulationdensity_r,shape_area_r,id_c,pop_r_ip,yearsofeducation_r_ip,gdppcregion_r_ip,lnpopulationdensity_r_ip,shape_area_r_ip,region_ip
152,Latin America,0.12582392,-1,0,2005,Paraba,6,1857704.3,5.1292019,2806.269,4.1703811,28694795369,1572,1857704.3,5.1292019,2806.269,4.1703811,28694795369,Paraba
153,Latin America,0.12582392,0,0,2005,Pernambuco,0,4290165.5,5.7382598,3606.2419,4.4596438,49622116879,,4290165.5,5.7382598,3606.2419,4.4596438,49622116879,Pernambuco
154,Latin America,0.12582392,0,0,2005,Rio de Janeiro,9,8247614,7.5868869,9902.5566,5.8466678,23831571173,1572,8247614,7.5868869,9902.5566,5.8466678,23831571173,Rio de Janeiro
155,Latin America,0.12582392,0,0,2005,Rio Grande do Norte,1,1523973.5,5.7812548,3614.864,4.0438852,26714094939,1572,1523973.5,5.7812548,3614.864,4.0438852,26714094939,Rio Grande do Norte
156,Latin America,0.12582392,-1,0,2005,Sergipe,0,991859.5,5.4372249,4222.3008,4.5060701,10951883657,,991859.5,5.4372249,4222.3008,4.5060701,10951883657,Sergipe
157,Latin America,0.12582392,-1,0,2005,La Paz,0,1338771.4,,2801.595,2.958123,69504016964,,1338771.4,7.2367039,2801.595,2.958123,69504016964,La Paz
158,Latin America,0.12582392,-1,0,2005,Oruro,0,221807.34,,3657.156,2.0290229,29159658187,,221807.34,7.1978378,3657.156,2.0290229,29159658187,Oruro
159,Latin America,0.12582392,-1,0,2005,Pando,0,33464.078,,4338.4458,0.033923499,32347898084,,33464.078,6.6760278,4338.4458,0.033923499,32347898084,Pando
160,Latin America,0.12582392,0,0,2005,Cochabamba,0,861289.13,,3136.1809,3.3717051,29568963167,,861289.13,6.5313578,3136.1809,3.3717051,29568963167,Cochabamba
161,Latin America,0.12582392,0,0,2005,Chuquisaca,0,312688.44,,2525.062,2.431741,27480214959,,312688.44,5.0903091,2525.062,2.431741,27480214959,Chuquisaca
162,Latin America,0.12582392,0,0,2005,Beni,0,206837.91,,2684.1101,0.64285767,1.08753E+11,,206837.91,6.6234798,2684.1101,0.64285767,1.08753E+11,Beni
